ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY GO HOME FROM MCDONALDS WITHOUT EATING ANY FRIES

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY MAKE A MEME YOU MUST LIVE THE MEMES

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY  LIKE A MEME WITHOUT BEING A MEMBER

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY MAKE A GOOD MEME

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY DELETE IMAGES ON MEMEGENERATOR.NET

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY IGNORE GIRL'S TEXT

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY MAKE A COMPLICATED MEME WITHOUT FORGETTING TO CHECK SPELLING

ONE_DOES_NOT_SIMPLY,TALK LIKE YODA ONE SIMPLY DOES NOT

ONE_DOES_NOT_SIMPLY,THIS IS EXACTLY HOW MUCH I CARE ABOUT THE ROYAL BABY

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY FIND DORY'S FAMILY

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY LOVE AND EAT ANIMALS

ONE_DOES_NOT_SIMPLY,"AMERICANS, ONE DOES NOT SIMPLY ELECT A FORMER REALITY STAR TO BE THE LEADER OF ONE OF THE MOST POWERFUL COUNTRIES IN THE WORLD"

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY EAT ONE SLICE OF TOAST

ONE_DOES_NOT_SIMPLY,I RECOMMEND THAT YOU DRIVE LIKE THERE IS A BODY IN THE TRUNK

ONE_DOES_NOT_SIMPLY,I'D RATHER WORK ALL DAY EVERY DAY THAN KISS THE ASS OF SOMEONE I CANT STAND SO THEY WILL PAY MY BILLS

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY TRY TO HAVE A POLITICAL CONVERSATION IN A VIDEO GAME

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY STEP ON A LEGO AND NOT SCREAM AND CRY IN PAIN

ONE_DOES_NOT_SIMPLY,CAPTION A MEME WRONG. ONE DOES NOT SIMPLY

ONE_DOES_NOT_SIMPLY,AMOUNT OF MONEY I SPEND ON COMPANIES THAT OPENLY STATE LEFTIST BIAS

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY  CROSS THE BORDER OF MEXICO WITHOUT BEING SHOT

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY TAKE A DUMP IN THE SHOWER AND PUSH THE CRAP DOWN THE DRAIN WITH THEIR BIG TOE

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY TAUNT A BISON

ONE_DOES_NOT_SIMPLY,NO ONE HAS MORE TO SAY THAN A WOMAN WHO SAYS SHE DOESN'T WANT TO TALK ABOUT IT

ONE_DOES_NOT_SIMPLY,"ONE  DOES NOT SIMPLY USE THIS MEME WITHOUT SAYING ""ONE DOES NOT SIMPLY"""

ONE_DOES_NOT_SIMPLY,SERVICE SO BAD THE WAITRESS OWES YOU MONEY

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY  WARM UP MCDONALDS FRENCH FRIES

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY REMOVE ALL ANIMAL PRODUCTS FROM THEIR DIETS  WITHOUT REPLACING THEIR SOURCES OF NUTRIENTS

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY LET THE HOOKER KEEP THE MONEY ON GTA

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY MAKE A GOOD MEME WHEN THEY ARE TOO SLE....ZZZZZZZZZZ

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY GO ON TWITTER WITH THEIR PHONE WHILE SLEEPY

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY PLAY VIOLIN

ONE_DOES_NOT_SIMPLY,LETS JUST MAKE IT ILLEGAL TO KILL PEOPLE AND YOU WONT HAVE TO WORRY ABOUT THE GUNS

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY  TAKE A SHIT AT A FRIENDS HOUSE

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY EAT A TACO  AND NOT SHIT THEIR PANTS

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY POUR MILK FROM A NEW JUG

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY STOP MASTURBATION

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY FORGET....FORGET.......DAMMIT

ONE_DOES_NOT_SIMPLY,FOLLOW MEME RULES ONE SIMPLY DOES NOT

ONE_DOES_NOT_SIMPLY,ONE DOES NOT SIMPLY USE GRUMPY CAT FOR EVERYTHING

